scientificname;longitude;latitude
Araucaria angustifolia;-49.1989;-25.9283
Butia microspadix;-52.3831;-24.0458
Mimosa kuhnisteroides;-49.33;-25
Ocotea odorifera;-50.001697;-25.25301
Heteropterys dusenii;-50.001697;-25.25301
Moquiniastrum argyreum;-50.0064;-25.4294
Mimosa kuhnisteroides;-49.3142;-25.1903
Cyanocephalus apertiflorus;-50.1617;-25.095
Dyckia reitzii;-49.7056;-24.2511
Ocotea odorifera;-49.17;-24.83
Eugenia pruinosa;-48.8342;-25.4769
Mimosa callidryas;-50.0064;-25.4294
Mimosa kuhnisteroides;-49.3142;-25.1903
Chloraea membranacea;-49.2731;-25.4281
Ocotea porosa;-49.2731;-25.4281
Tachigali denudata;-48.5747;-25.8828
Nectandra paranaensis;-50.5842;-25.0242
Matayba cristae;-48.909237;-25.347215
Gyrostelma bornmuelleri;-51.4581;-25.3956
Solanum gertii;-48.918884;-25.439421
Mimosa urticaria;-50.9492;-24.2083
Mimosa urticaria;-50.9492;-24.2083
Butia eriospatha;-49.25;-25.42
Piper hatschbachii;-49.2731;-25.4281
Piper hatschbachii;-49.2731;-25.4281
Piper hatschbachii;-49.2731;-25.4281
Lobelia langeana;-49.0631;-25.4419
Lippia pumila;-49.6356;-25.5842
Cuphea glaziovii;-52.4158;-25.4081
Heteropterys dusenii;-48.888796;-25.118389
Ocotea porosa;-50.8589;-25.0108
Myrceugenia gertii;-49.2064;-25.5347
Myrceugenia gertii;-49.117631;-25.75425
Ocotea porosa;-50.1969;-25.9861
Serjania hatschbachii;-48.9908;-24.6572
Dicksonia sellowiana;-51.9906;-26.4844
Cedrela fissilis;-52.5678;-25.9797
Valeriana reitziana;-51.9906;-26.4844
Escallonia obtusissima;-51.9906;-26.4844
Pavonia hatschbachii;-51.9906;-26.4844
Byrsonima brachybotrya;-49.115;-25.2061
Eryngium scirpinum;-49.4633;-24.1131
Habenaria piraquarensis;-49.4633;-24.1131
Plinia hatschbachii;-48.7117;-25.4286
Ocotea porosa;-49.3142;-25.1903
Tabebuia cassinoides;-48.67;-25.5
Symplocos glaberrima;-49.7156;-25.7697
Dyckia fosteriana;-49.4633;-24.1131
Eryngium koehneanum;-48.7117;-25.4286
Nectandra paranaensis;-49.0553;-25.3058
Begonia rubropilosa;-49.2608;-24.8236
Cedrela fissilis;-49.0631;-25.4419
Podocarpus brasiliensis;-49.0631;-25.4419
Araucaria angustifolia;-51.9906;-26.4844
Moquiniastrum argyreum;-50.0064;-25.4294
Mimosa hatschbachii;-52.1264;-25.3744
Stevia catharinensis;-51.4581;-25.3956
Byrsonima brachybotrya;-50.0064;-25.4294
Mimosa callidryas;-49.115;-25.2061
Heteropterys dusenii;-50.4133;-24.5094
Heteropterys dusenii;-50.4133;-24.5094
Heteropterys dusenii;-50.4133;-24.5094
Xyris reitzii;-49.2731;-25.4281
Byrsonima brachybotrya;-49.891776;-25.299294
Myrceugenia hatschbachii;-49.891776;-25.299294
Myrceugenia hatschbachii;-49.891776;-25.299294
Ocotea porosa;-49.7156;-25.7697
Curitiba prismatica;-49.7156;-25.7697
Curitiba prismatica;-49.7156;-25.7697
Xyris hatschbachii;-49.891776;-25.299294
Eugenia sclerocalyx;-49.0553;-25.3058
Eugenia sclerocalyx;-49.0553;-25.3058
Sinningia hatschbachii;-48.8342;-25.4769
Solanum gertii;-48.8342;-25.4769
Tachigali denudata;-48.426212;-25.176184
Euplassa cantareirae;-49.1989;-25.9283
Euplassa cantareirae;-49.1989;-25.9283
Euplassa nebularis;-49.1989;-25.9283
